iter	Passed	Remaining
0	2	270
1	5	259
2	6	208
3	8	204
4	10	199
5	11	181
6	12	171
7	15	173
8	17	172
9	18	169
10	20	162
11	22	161
12	24	161
13	26	160
14	28	162
15	31	162
16	32	160
17	35	162
18	38	162
19	40	163
20	43	163
21	45	161
22	47	159
23	49	157
24	51	155
25	54	155
26	56	152
27	57	148
28	59	146
29	61	144
30	63	142
31	65	139
32	67	137
33	69	134
34	71	132
35	73	130
36	74	126
37	75	123
38	77	121
39	79	118
40	80	116
41	82	114
42	84	111
43	85	109
44	87	106
45	88	104
46	90	102
47	91	99
48	93	97
49	95	95
50	96	92
51	97	90
52	99	88
53	101	86
54	102	84
55	104	82
56	106	80
57	108	78
58	110	76
59	111	74
60	113	72
61	114	70
62	117	68
63	118	66
64	120	65
65	122	63
66	125	62
67	128	60
68	129	58
69	131	56
70	133	54
71	135	52
72	137	50
73	139	48
74	140	46
75	142	45
76	144	43
77	146	41
78	148	39
79	150	37
80	151	35
81	153	33
82	155	31
83	157	29
84	159	28
85	161	26
86	164	24
87	167	22
88	176	21
89	182	20
90	185	18
91	190	16
92	193	14
93	197	12
94	200	10
95	207	8
96	210	6
97	213	4
98	217	2
99	222	0
